Code RNCP/RS,Type de répertoire,Intitulé,Certificateurs,Niveau de qualification,Abrégé de diplôme public,Code(s) NSF,Code(s) ROME,Formacode(s),Statut,Date d'échéance de l'enregistrement,Ouverture à l'apprentissage,Ancienne(s) fiche(s),Nouvelle(s) fiche(s),Code,Metiers,Categorie_x,Lettre RIASEC Principale,Lettre RIASEC Secondaire,Lettre RIASEC tertiaire,Categorie_y,SIRET,code UAI,n° SIRET,type d'établissement,nom,statut,adresse,CP,commune,téléphone,académie,région,longitude (X),latitude (Y),journées portes ouvertes,URL et ID Onisep,Niveau attendu
RNCP34565,RNCP,Agent d’Accompagnement auprès d'adultes dépendants,"GRETA ARDECHE DROME - 20004632400022, ACTEMOS - 51930380400032, GRETA - LORRAINE EST - 19570099200074, GRETA DU LIMOUSIN - 19870056900041, LYCEE DES METIERS  YVES THEPOT - 19290071000018, LYCEE GENERAL ET TECHNOLOGIQUE ALEXIS MONTEIL - 19120024500022, LYC",Niveau 3,,330t : Spécialités plurivalentes des services aux personnes (réalisation du service),"K1301 : Accompagnement médicosocial, J1301 : Personnel polyvalent des services hospitaliers, K1302 : Assistance auprès d''adultes",43429 : Agent service hospitalier,Active,2025-04-24,Oui,RNCP26749 - Agent d'accompagnement auprès de personnes âgées et personnes dépendantes ,,K1301,Accompagnateur médicosocial / Accompagnatrice médicosociale,Je souhaite prendre soin des autres,S,C,E,Social,20004632400022,,20004632400022,Centre de formation d'apprentis,GRETA Ardèche Drôme - antenne de Romans-sur-Isère,public,38 boulevard Rémy Roure,26103,Romans-sur-Isère,04 75 82 37 90,Grenoble,Auvergne-Rhône-Alpes,5.0471458,45.0502976,du 14/02/2025 au 15/02/2025 de 16h30 à 12h00 (de 16h30 à 19h le 14 février et de 8h30 à 12h le 15 février),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23665,Inférieur au Bac
RNCP34571,RNCP,Sellier maroquinier d'art,CTRE FORMATION APPRENTIS PAYS MONTBELIAR - 37931209300014,Niveau 3,,243 : Cuirs et peaux,"H2401 : Assemblage - montage d''articles en cuirs, peaux, B1802 : Réalisation d''articles en cuir et matériaux souples (hors vêtement)",21882 : Maroquinerie,Active,2025-04-24,Oui,RNCP2152 - Sellier maroquinier d'art,,H2401,"Opérateur / Opératrice de fabrication industrie des cuirs, peaux et matériaux associés",J'ai le souci du détail,C,I,R,"Tissez votre avenir avec les métiers de l'industrie textile et de la mode.
 
 L'industrie textile offre de vastes applications au delà de l’habillement, elle porte des innovation dans l'aéronautique, la santé, le sport ou l'automobile par exemple. Accessible du CAP aux écoles d’ingénieurs spécialisées en textile, il existe de nombreuses métiers passionnants dans la mode comme dans l'industrie : blanchisserie industrielle, coupe et montage de vêtements, stylisme ou réalisation d'articles en cuir.",37931209300014,0251749R,37931209300014,Centre de formation d'apprentis,CFA du pays de Montbéliard,privé,Rue des Frères Lumière,25200,Béthoncourt,03 81 97 36 37,Besançon,Bourgogne-Franche-Comté,6.81061,47.538,le 14/03/2025 de 09h00 à 16h30 | le 15/03/2025 de 09h00 à 16h30,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6163,Inférieur au Bac
RNCP34934,RNCP,Tractoriste,INSTITUT DE FORMATION EN COMMERCE & OENOLOGIE (I.F.C.O.) - 49155472100036,Niveau 3,,211s : Productions végétales,"A1101 : Conduite d''engins agricoles et forestiers, A1405 : Arboriculture et viticulture",21055 : Machinisme viticole,Active,2025-09-14,Non,RNCP26120 - Tractoriste,,A1101,Conducteur / Conductrice d'engins agricoles,J'aime l'activité physique,R,E,S,"Agriculture, sylviculture",49155472100036,0134122K,49155472100036,Centre de formation d'apprentis,Institut de formation en commerce et oenologie,privé hors contrat,"220 chemin du camp de Sarlier, les plateaux de l'Alta, les plateaux de l'Alta",13400,Aubagne,09 81 94 10 35,Aix-Marseille,Provence-Alpes-Côte d'Azur,5.3843143,43.2842056,le 15/02/2025 de 09h00 à 15h00,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21821,Inférieur au Bac
RNCP36077,RNCP,Brancardier,CROIX ROUGE FRANCAISE - 77567227221138,Niveau 3,,330t : Spécialités plurivalentes des services aux personnes (réalisation du service),"J1301 : Personnel polyvalent des services hospitaliers, J1305 : Conduite de véhicules sanitaires, K1705 : Sécurité civile et secours",43413 : Brancardier,Active,2026-12-15,Non,,,J1301,Agent / Agente de service hospitalier (ASH),J'ai le sens du contact,S,E,A,Médical,77567227221138,0756065K,77567227221138,École de santé,Croix-Rouge Compétence - site de Paris,privé sous contrat,98 rue Didot,75014,Paris,01 84 83 10 20,Paris,Ile-de-France,2.3166882991791,48.828593779768,le 01/02/2025 de 10h00 à 16h30 voir https://competence.croix-rouge.fr/actualite/portes-ouvertes-decouvrir-metiers-sante-social/,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7054,Inférieur au Bac
RNCP37055,RNCP,Poseur agenceur de cuisines et salles de bains,"NOVEHA - 45101497100019, ASSOCIATION POUR LA FORMATION PROFESSIONNELLE DANS LES INDUSTRIES DE L'AMEUBLEMENT LYON - 45094656100021",Niveau 3,,"234s : Fabrication, pose en menuiserie et charpente ; Fabrication de meubles","F1604 : Montage d''agencements, F1603 : Installation d''équipements sanitaires et thermiques",22408 : Cuisine salle de bains,Active,2025-11-23,Oui,RNCP34687 - Poseur agenceur de cuisines et salles de bains,,F1604,Plaquiste,"J'ai envie de créer, construire, rénover",R,A,I,Second Œuvre,45101497100019,0851196N,45101497100019,Centre de formation d'apprentis,CFA Novéha,privé sous contrat,"1 rue Alfred de Vigny, Saint Hilaire de Loulay",85601,Montaigu-Vendée,02 51 94 08 31,Nantes,Pays de la Loire,-1.3039,46.9793,le 01/03/2025 de 09h00 à 17h00 (interruption entre 12h et 14h),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1252,Inférieur au Bac
RNCP37513,RNCP,Conducteur d'engins de travaux publics,ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE LA BAROTTE HAUTE COTE D'OR - 19211217500026,Niveau 3,,"231u : Mines et carrières, génie civil, topographie (conduite surveillance de machines)","F1302 : Conduite d''engins de terrassement et de carrière, F1702 : Construction de routes et voies",31717 : Engin chantier,Active,2028-04-24,Oui,RNCP31131 - Conducteur d'engins de travaux publics ,,F1302,Conducteur / Conductrice d'engins de chantier,"J'ai envie de créer, construire, rénover",R,A,I,BTP,19211217500026,0211217J,19211217500026,Lycée agricole,Lycée d'enseignement général et technologique de la Barotte Haute Côte-d'Or,public,Route de Langres,21400,Châtillon-sur-Seine,03 80 91 53 03,Dijon,Bourgogne-Franche-Comté,4.61453,47.8601,le 22/03/2025 de 09h00 à 17h00,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7521,Inférieur au Bac
RNCP37513,RNCP,Conducteur d'engins de travaux publics,ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE LA BAROTTE HAUTE COTE D'OR - 19211217500026,Niveau 3,,"231u : Mines et carrières, génie civil, topographie (conduite surveillance de machines)","F1302 : Conduite d''engins de terrassement et de carrière, F1702 : Construction de routes et voies",31717 : Engin chantier,Active,2028-04-24,Oui,RNCP31131 - Conducteur d'engins de travaux publics ,,F1302,Conducteur / Conductrice d'engins de chantier,"J'ai envie de créer, construire, rénover",R,A,I,Industries,19211217500026,0211217J,19211217500026,Lycée agricole,Lycée d'enseignement général et technologique de la Barotte Haute Côte-d'Or,public,Route de Langres,21400,Châtillon-sur-Seine,03 80 91 53 03,Dijon,Bourgogne-Franche-Comté,4.61453,47.8601,le 22/03/2025 de 09h00 à 17h00,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7521,Inférieur au Bac
RNCP38111,RNCP,Opérateur de transformation en industrie alimentaire,INSTITUT DE FORMATION REGIONAL DES IAA - 41093664500044,Niveau 3,,"221 : Agro-alimentaire, alimentation, cuisine","H3303 : Préparation de matières et produits industriels (broyage, mélange, ...), H2102 : Conduite d''équipement de production alimentaire, H3301 : Conduite d''équipement de conditionnement, H3302 : Opérations manuelles d''assemblage, tri ou emballage",21554 : Agroalimentaire,Active,2026-10-18,Oui,RNCP26759 - Opérateur de transformation en industrie alimentaire,,H3303,Cuisinier / Cuisinière en industrie chimique,J'aime le travail manuel,R,C,I,Industrie - Chimie,41093664500044,0292194C,41093664500044,Centre de formation d'apprentis,CFA IFRIA Ouest,privé,"5 rue Pierre Trémintin, Moulin des Landes",29000,Quimper,02 98 64 55 51,Rennes,Bretagne,-4.08688,47.9625,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10225,Inférieur au Bac
RNCP38483,RNCP,Animalier en parc zoologique,MAISON FAMILIALE RURALE D'EDUCATION ET D'ORIENTATION DE CARQUEFOU - 78602926400029,Niveau 3,,"212t : Soins des animaux, soins vétérinaires","A1408 : Élevage d''animaux sauvages ou de compagnie, A1501 : Aide aux soins animaux","42608 : Parc loisirs, 42024 : Soin animalier, 12032 : Zoologie",Active,2026-12-21,Oui,RNCP2219 - Animalier en parc zoologique,,A1408,Éleveur / Éleveuse d'animaux,J'aime l'activité physique,R,E,S,"Élevage, pêche",78602926400029,0441972E,78602926400029,Maison familiale rurale,MFR Carquefou,privé sous contrat,"Avenue Cugnot, La Charmeliere",44470,Carquefou,02 40 52 79 82,Nantes,Pays de la Loire,-1.47363,47.2953,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2150,Inférieur au Bac
RNCP38628,RNCP,Opérateur polyvalent dans l'environnement nucléaire,"LYCEE GENERAL TECHNO DIT DHUODA - GRETA DU GARD - 19300026200025, KAIROS FORMATION - 81537695900012",Niveau 3,,"343 : Nettoyage, assainissement, protection de l'environnement",I1503 : Intervention en milieux et produits nocifs,24134 : Énergie nucléaire,Active,2029-02-09,Oui,,,I1503,Technicien / Technicienne en risques technologiques,"J'aime faire respecter la loi, les règles",C,E,S,Environnement,19300026200025,0301365W,19300026200025,Centre de formation d'apprentis,GRETA - CFA du Gard et de la Lozère,public,"17 rue Dhuoda, Lycée Dhuoda",30913,Nîmes,04 66 04 24 50,Montpellier,Occitanie,4.356906,43.827849,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3023,Inférieur au Bac
