Etablissement,Ville,Département,Sélectif,Type de formation,Filière sélectionnée
INSEEC Bordeaux,Bordeaux,33.0,True,Ecole de Commerce,Parcours d'Excellence (Double/Triple Diplômes 100% English)
INSEEC Lyon,Lyon 7e  Arrondissement,69.0,True,Ecole de Commerce,Parcours d'Excellence (Double/Triple Diplômes 100% English)
Université Gustave Eiffel,Champs-sur-Marne,77.0,False,Licence,"Mathématiques, Informatique"
Sciences Po - campus de Menton - Institut d'études politiques,Menton,6.0,True,Autre formation,"Sciences Po - Campus de Menton - Double diplôme Sciences Po - LUISS, The Mediterranean and the Middle East regions Minor"
Sciences Po - campus de Poitiers - Institut d'études politiques,Poitiers,86.0,True,Autre formation,"Sciences Po - Campus de Poitiers - Double diplôme Sciences Po - LUISS, Mineure Amérique latine - Caraïbes"
Université de Mulhouse,Mulhouse,68.0,False,Licence,Mathématiques et applications
ESSLIL Ecole des Sciences de la Société,Lille,59.0,False,Licence,Sciences des Sociétés Humaines
Lycée Hotel.Tourisme Gascogne,Talence,33.0,True,Autre formation,Hôtellerie restauration
Haute Ecole du Travail et de l'Intervention Sociale - HETIS Draguignan,Draguignan,83.0,True,EFTS,D.E Educateur Spécialisé
ISNAB,Villenave-d'Ornon,33.0,True,BTS,"Technico-commercial - Spécialité vins, bières et spiritueux"
Université de Franche-Comté - Site de Besançon,Besançon,25.0,True,Licence,Double Diplôme Maîtrise en Droit / LLB Common Law and Civil Law - uFC-Univ Limerick
ISNAB,Villenave-d'Ornon,33.0,True,BTS,"Analyse, conduite et stratégie de l'entreprise agricole"
Sciences Po - campus de Reims - Institut d'études politiques,Reims,51.0,True,Autre formation,"Sciences Po - Campus de Reims - Double diplôme Sciences Po - LUISS, North America Minor"
Lycée St Louis,Bordeaux,33.0,True,BTS,Bioanalyses et contrôles
Lycée St Louis,Bordeaux,33.0,True,BTS,Analyses de biologie médicale
La Rochelle Université,La Rochelle,17.0,True,Licence,parcours Histoire
IDRAC Business School - Campus de Lyon,Lyon 9e  Arrondissement,69.0,True,Ecole de Commerce,Bachelor FULL ENGLISH
EPITA Lyon,Lyon 3e  Arrondissement,69.0,True,Ecole d'Ingénieur,Bac Série générale - Cycle anglophone
Université Toulouse 3 Paul Sabatier,Toulouse,31.0,False,Licence,PCAME (Physique-Chimie-Astrophysique-Météorologie et Énergie) - L1 Antenne de Tarbes
Facultés libres de l'Ouest - UCO ANGERS,Angers,49.0,True,Autre formation,Métiers de la protection et gestion de l'environnement - parcours Eco manager en développement durable et responsabilité sociétale
CY Cergy Paris Université,Cergy,95.0,True,Licence,Double licence Droit / Economie et gestion
CESI Campus de Rouen (St Etienne du Rouvray),Saint-Etienne-du-Rouvray,76.0,True,Ecole d'Ingénieur,Bachelor en Sciences et en Ingénierie - Intelligence Artificielle
Lycée Pape Clement,Pessac,33.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux"
Lycée professionnel des Métiers Jean-Baptiste Clément,Sedan,8.0,True,Autre formation,Cybersécurité
Université de Cergy-Pontoise - CY SUP,Cergy,95.0,True,Licence,Double licence Economie et gestion / LEA anglais espagnol+ DU Economics and Corporate English + Certification Ecotopia
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,True,Autre formation,"Métiers de la mode - Parcours : Styliste, Coloriste, Infographiste"
Université Paul Valery - Centre Universitaire Du Guesclin - Béziers,Béziers,34.0,True,Autre formation,"Métiers de l'animation sociale, socio-éducative et socioculturelle parcours Coordination et gestion des établissements sanitaires et sociaux"
INSTITUT CATHOLIQUE LILLE,Lille,59.0,True,Licence,Design
Lycée Des Metiers Du Batiment,Felletin,23.0,True,Autre formation,Peinture décoration
CESI Campus de Brest,Guipavas,29.0,True,Ecole d'Ingénieur,Bachelor en Sciences et en Ingénierie -  Optimisation des projets de construction
Lycée Les Iris,Lormont,33.0,True,BTS,Electrotechnique
ESRA - Rennes,Rennes,35.0,True,Autre formation,Etudes Supérieures en Réalisation Audiovisuelle
Université de Bordeaux - Bordeaux Métropole,Talence,33.0,False,Licence,Administration économique et sociale
EiSINe - Charleville-Mézières,Charleville-Mézières,8.0,False,Licence,Matériaux et Mécanique
EiSINe - Reims,Reims,51.0,True,Licence,"Classe Préparatoire Intégrée à dominante Électronique, énergie électrique, automatique"
ESIReims,Reims,51.0,True,Licence,"Classe Préparatoire Intégrée à dominante Packaging, Energie, Environnement"
